City,Population as of (2010  Census),State,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02
Paramount,54098,CA,879,123300,123300,123500,123400,122700,122100,121700,121300,121100,121500,122100,122700,123300,124200,124900,125000,124800,124700,124800,125300,126300,127500,128300,128200,127400,127300,127300,127900,129400,131200,131900,132300,132200,131800,131700,132000,132400,132300,132300,132800,133700,133900,134100,134400,134500,134700,134800,134700,134900,135700,136800,138000,138900,139600,140600,141800,142900,143800,144700,145700,147100,148600,150100,150800,150700,151100,152400,153700,155200,157600,160300,163000,165300,167000,167800,168400,170300,173300,176400,179200,182400,185500,188800,192300,195000,197500,200800,204400,208300,211800,214600,218400,223300,228400,233900,240700,248400,255900,263200,271600,280200,288100,296000,303800,310800,317300,323400,329200,335600,343400,351400,358300,363900,371700,381200,389300,394200,398000,402100,406200,409800,414700,422600,429500,432300,431100,429200,428500,428800,429800,431000,431800,432500,432200,431300,431600,432200,430100,425500,418800,409700,399800,390300,379700,366000,351500,336400,321600,309800,300900,292300,284000,275700,267800,260800,254000,245800,236800,229200,224600,221200,218100,216200,216000,217900,219600,219300,218300,219600,220500,218400,215500,215200,216700,216900,214500,212100,211800,210500,207700,206900,208000,209200,209700,208500,206300,205300,205000,203900,202200,200400,199700,200500,203200,208500,213900,217500,218300,218600,220900,224100,226900,232400,240100,245800,250300,254000,255800,256800,259000,261300,264000,267400,270600,273900,277800,281600,284400,285800,286500,288500,290700,292900,294300,296400,300000,303900,306000,307800,310300,313200,316800,320100,322700,325300,329200,331900,333700,336600,340400,343600,344900,348300,355000,360400,363200,366900,371200,374200,377000,380900,386400,390200,392600,394400,394900,395900,400500,404700,406200,407900,410800,412400
Pasadena,137122,CA,196,202000,200800,198500,196500,195600,195000,193800,193300,194000,195400,196100,195700,195000,194900,195400,196500,198800,201500,204200,206500,208000,209900,212300,214600,216800,219600,221900,223500,224900,226600,229000,231000,231700,231900,232700,234100,236100,238900,242100,245200,247000,247800,248600,249600,251600,255400,260200,263800,265900,266700,268100,270300,273100,276600,280000,282100,284000,286500,288300,290000,291700,293700,296200,299300,302000,304600,308300,313000,317800,322100,326800,331900,336600,341800,348000,353700,358300,362500,367600,375100,382900,389000,393600,398400,403800,408500,411700,415700,421800,428900,436000,443300,452100,461200,469600,479400,493400,509400,523900,535500,545000,552500,556800,558800,561100,565600,572600,579800,585200,591800,601600,613000,623300,632200,639100,644200,648800,653500,656400,657600,658600,659800,660600,660500,658900,657100,657100,659200,660400,661500,663700,667100,668800,668100,665400,662700,661000,658400,654300,648600,642600,636600,631100,624300,616000,606200,596300,587100,579200,573300,569000,565600,563000,561500,559100,554800,549300,542800,537900,536500,537500,539600,542800,546000,546200,542400,537800,533100,530300,530200,529600,526000,524300,525100,527700,527300,524800,522700,522000,521500,520400,517600,514300,512600,510900,506500,499700,495100,493700,493200,492000,492800,496400,501900,507700,513700,516900,518000,519100,523900,530400,537800,545500,554400,561900,569100,576700,583500,589200,595000,599600,603600,606300,608300,612100,617900,622700,627500,632100,635500,638900,643800,649600,653100,654900,657600,661300,664500,667100,669800,673200,676300,678400,679200,679700,680400,683000,687500,692300,696200,701200,704700,707200,708800,709900,711700,715600,720000,725500,731000,735800,740700,747300,754200,758900,760600,763500,769700,777000,783400,790400,798300,803300
Pico Rivera,62942,CA,621,145300,145800,145800,145400,145000,144600,144100,144000,144200,144900,145700,146400,146800,146900,147000,147000,146800,146600,146500,146400,146700,147400,148100,148100,148100,148500,149300,149700,149900,150400,151300,152200,152400,152400,152800,153400,153800,154300,155300,156400,157700,158700,159800,161000,162200,163400,164800,166000,166800,167200,167800,168700,169200,169500,170500,171800,172900,174400,176300,178100,179800,181800,183200,183900,184800,186300,187600,189200,191500,194300,197700,201300,204200,206600,209000,212500,217000,221900,226300,230600,234600,237900,240500,242900,245900,249500,253100,256600,260000,263700,267900,272400,277500,283800,290200,296900,304900,313100,321300,330800,340700,349000,355800,362300,369800,377500,384000,390000,396200,403800,412300,419900,427500,436700,446200,454600,460500,464100,467200,470500,474200,479600,485700,489400,489900,488400,486400,484100,482700,482800,484400,485700,486000,485500,484500,481800,477600,472800,468600,463300,455300,446100,436200,426100,414500,400000,383300,370200,361000,353500,346200,339200,332300,326400,320700,314200,307200,299900,293100,288900,286500,285100,284100,283600,283700,284100,285300,285900,286700,289400,293400,294700,294400,293400,292600,292400,292800,292400,291300,289600,288000,286600,285500,284400,283600,282200,279700,277900,277100,276800,276600,278600,281500,283700,285600,287700,288700,289700,291400,294100,297500,299800,302000,306100,312000,318000,324100,329800,334300,337900,341300,344700,347900,352100,356300,359400,361100,363000,364900,367200,369400,371800,373600,372600,369700,368600,369300,370100,372300,375300,376600,376900,378200,380700,384100,388100,392700,396900,400600,403400,406100,408200,413400,420200,424700,426300,429300,432700,435400,437500,439900,442800,445200,447700,449000,449300,450800,454600,457900,460900,463300,465300,466800
Pomona,149058,CA,174,114100,114400,114300,113900,113500,113400,113300,113300,113500,114100,114800,115500,115900,116300,116600,116800,116900,117200,117200,117100,117200,117800,118700,119300,119500,119400,119100,118500,118600,119300,120200,121300,122300,122600,122400,122100,122000,122500,123500,124400,124900,125300,126100,127600,129000,130100,131300,132800,134100,135100,136200,137200,137500,137300,137600,138200,139100,140800,143100,145000,146700,148600,150300,152200,154500,156500,157900,159300,160800,162100,163500,165200,167200,169200,171500,174300,177100,180000,183300,186700,190300,194200,197700,200800,203700,206600,209600,212800,216800,221700,227000,231700,236600,242200,248300,254700,261900,269600,277900,286100,294000,301800,309200,315800,321100,325700,330900,336900,343300,349500,355600,362600,370100,377300,382800,388300,393000,396300,399200,402700,405800,409100,412400,415200,417300,417700,416100,414600,413600,413000,413600,414300,413300,411000,407900,403600,398500,393200,389000,384900,378500,370400,362900,355800,347200,337700,328400,319300,309400,299900,291000,282700,273800,264800,256600,248500,239000,229100,220600,214400,210200,207400,206000,204800,207300,212600,214900,215000,218400,222300,224100,225700,227000,227100,227100,227300,226100,224800,224000,222800,221900,222700,223200,221400,219700,218700,217500,216600,216400,216000,216000,216800,218100,220300,223100,226300,229800,233300,235500,238100,240800,242400,244500,249200,255100,260900,266800,272700,278400,284300,288900,292000,295200,299700,304400,308200,310000,310400,312400,315900,318400,319600,321800,323900,324800,325900,327800,328100,327300,327200,328200,329800,331800,333500,335300,337800,339700,340700,343100,347400,351100,353200,354200,355300,356700,359300,363000,367300,370500,372700,375400,379500,384300,389000,393600,395700,396500,398400,401900,405700,409200,412200,415000
Rancho Palos Verdes,41643,CA,1444,413700,412300,411700,410600,409500,410100,412100,415000,418500,421300,423200,425800,427900,429200,431800,437800,444900,450600,455600,459700,461900,464600,469100,475400,484100,493600,501200,507100,511900,516400,519900,523900,528700,532000,531600,529300,528300,528400,529200,530800,534700,539100,544000,549600,555800,561000,565100,568800,572100,575500,579200,582600,585000,586600,589300,591900,595600,602300,610100,615900,619200,621700,624900,628100,629300,630600,632900,637500,644000,651100,655800,659000,660700,662200,666000,672300,678500,685200,695000,706300,715300,721500,727400,734400,744200,757600,770900,782200,792400,802100,810900,824500,843700,862900,881600,902400,921700,937300,953600,971100,984400,993200,997800,998200,998800,1005000,1019600,1041900,1067100,1089100,1100700,1110800,1132000,1158100,1177800,1188900,1191900,1192600,1193000,1186500,1175600,1168200,1167400,1167200,1166300,1166400,1167500,1163500,1150100,1134300,1127100,1128700,1137200,1148400,1156100,1153800,1143600,1132500,1124700,1120000,1119500,1118300,1110300,1098400,1083300,1065500,1046700,1030600,1017000,1007400,1000700,997100,992900,988000,981700,975100,965300,951900,941900,938800,937500,938800,944000,948800,952100,954300,953400,947200,944400,943200,944700,949300,960700,964800,957800,942900,938500,950200,961300,963300,960400,955000,947700,939500,926500,912900,905900,907400,909400,900800,892100,892700,895900,903400,912200,918800,925900,937800,951600,967900,981800,991000,1002300,1014100,1028800,1052100,1075600,1091800,1103600,1112100,1114400,1116000,1113600,1113400,1115100,1120100,1130700,1143300,1152000,1157600,1163300,1165100,1163500,1161200,1168600,1178100,1181200,1179300,1179100,1176700,1178100,1185000,1188400,1189400,1195900,1201900,1202200,1204700,1215400,1232500,1244400,1248000,1247300,1247000,1248200,1255400,1267700,1280800,1289300,1294100,1298800,1303700,1305200,1304300,1305400,1309400,1315800,1324400,1330100,1337500,1344700,1349900,1353500
Redondo Beach,66748,CA,564,264900,264100,262600,262000,261600,260800,260400,261600,263500,265900,267800,268500,268000,267800,268600,269800,271800,275200,279200,282800,286800,291300,295400,299000,302500,305900,310300,316200,321700,325100,327400,328800,329200,329600,330000,330400,331800,334400,337000,339000,340600,342600,346100,349900,352500,355500,359100,362300,365300,368600,370900,373300,376500,379800,381800,384200,387200,390700,394300,396800,397700,399400,401700,404000,406300,409200,412600,417700,423400,429100,434700,440100,444800,449000,453500,459500,467000,476200,486400,494700,501400,508900,516400,523000,529400,536100,543600,551200,558500,566700,577300,590100,603900,615800,625900,638900,657200,677300,694100,706200,713900,717900,718700,718300,719500,723500,730900,740900,752100,763400,773500,782500,792500,801800,807600,810400,813300,815300,816300,817800,817700,815800,815500,814800,810300,804700,801600,800100,796800,793400,791600,788400,784100,778800,772600,768500,768200,768200,766400,761800,757300,754200,751200,744100,735200,728100,722300,715300,708600,703100,699300,697200,694900,692600,689800,685800,680600,674700,670700,671100,674900,680000,684700,688400,690400,688300,686700,687800,688800,687700,685100,680100,673300,666300,661900,659500,658000,658400,656400,654500,652500,649400,647000,645500,642000,639700,638300,637300,638400,640300,642000,642600,644100,650300,656100,661700,670400,679500,683400,688100,694800,701500,707100,713200,720500,730100,741400,751400,759600,765100,769300,770800,772500,775700,779900,783400,786600,786900,788700,794800,801500,806100,809300,811200,812200,815000,820400,828000,838700,851200,860000,864700,868000,872500,879100,887500,895000,901300,909900,919200,924200,922300,922000,925600,927400,926200,929500,935900,940800,943800,948300,958100,973900,991700,1003800,1009500,1014900,1022000,1029500,1039100,1048700,1057300,1062900
Rolling Hills,1860,CA,10245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3093300,3097800,3089800,3107900,3121800,3084200,2989700,2910900,2843800,2800500,2759700,2772400,2849200,2932600,2983100,3007600,3026000,3052800,3110800,3180700,3286400,3392300,3469900,3499700,3521500,3527500,3520900,3526400,3536500,3517600,3504900,3510400,3502300,3476200,3451600,3484600,3551100,3595500,3596000,3581800,3576800,3605300,3632100,3642700,3614600,3559000,3478100,3376100,3263100,3272000,3398600,3521000,3576300,3583000,3560200,3536100,3530900,3594300,3721400,3814700,3853500,3881000,3947900,4053400,4119700,4143100,4164100
Rolling Hills Estates,8067,CA,9599,455600,453600,455400,456800,457100,456600,456400,457300,458400,459900,460800,463300,466900,472200,478900,487300,494300,500200,506500,512200,516900,524000,531400,536500,539400,542300,546900,555000,562700,569600,576100,581000,585400,590000,592200,590200,588300,590000,596100,603800,610100,614400,618800,622500,625000,626300,626500,628600,634200,638100,637600,635900,636500,636000,636500,644000,657200,669500,679500,687800,696700,705900,710200,709100,706500,706700,708700,712000,714700,716300,720000,725800,729100,730200,734600,744200,757600,770700,780600,787900,799300,814400,827100,834300,839400,842900,844300,843800,846800,858800,877800,894400,907000,922300,941000,961100,982000,1010300,1040700,1068100,1090800,1107900,1115400,1120600,1125400,1128300,1138600,1163100,1193300,1213100,1225700,1241600,1261700,1283600,1310000,1334000,1336000,1324400,1311400,1304700,1308600,1319900,1325400,1321500,1313800,1301200,1280200,1256200,1247200,1252000,1262000,1267000,1264500,1260400,1268900,1279900,1282400,1278500,1279500,1283900,1284200,1277100,1268300,1256600,1236200,1215100,1194000,1173400,1156100,1143300,1130600,1117300,1103800,1093200,1084200,1072200,1057900,1041600,1025600,1016700,1014200,1014500,1015700,1017200,1029800,1047800,1048500,1036300,1039000,1045500,1046100,1048600,1055300,1055700,1058900,1064200,1065200,1064700,1070300,1076400,1067700,1051700,1042500,1045500,1049100,1056800,1056500,1052400,1046400,1042600,1037400,1034800,1033400,1041900,1057800,1064300,1056300,1044500,1042500,1057200,1072800,1076000,1079200,1095300,1119800,1149400,1179200,1196900,1207100,1217300,1223700,1221600,1220600,1226900,1246400,1273200,1295100,1306100,1308800,1305100,1304300,1298900,1287700,1282300,1294900,1306200,1307900,1302000,1295600,1288300,1284900,1289800,1305000,1320900,1336600,1351800,1364200,1371900,1377700,1384800,1396500,1405800,1396600,1384300,1379700,1394800,1419400,1436400,1432500,1430000,1433900,1438600,1441500,1448200,1461800,1476100,1488000,1495100,1499300,1494700,1485900,1483300,1486700
Rosemead,53764,CA,657,151700,153100,154200,154700,155100,155700,156400,156800,156700,156500,156300,155700,154600,153300,152000,151600,151700,151900,152200,153100,154500,156300,158000,159100,159500,159300,158800,158100,157100,156900,158000,159100,159900,161100,162100,162100,161900,162400,163300,164500,165600,166300,166500,167000,168200,170200,172400,174500,176300,178000,179100,179900,180200,180100,180300,181300,182900,185600,189300,192300,194200,195600,197500,200500,204400,207900,209700,210900,212700,214200,215600,217600,220700,223600,227200,231900,236800,240600,244200,247600,249900,252000,255000,259000,263800,269000,273000,275400,278400,283100,289600,297000,304900,312500,319500,326200,333200,340700,348800,357000,364900,371500,375900,379700,384600,389800,395500,402500,410700,419500,427800,434400,440500,448100,456900,466300,474500,480100,483300,484900,484500,484900,488300,491300,491300,491200,491500,489900,486600,484100,483800,484900,486000,486500,485200,482200,478700,475300,471800,466900,458800,449100,440000,431800,424400,417200,409300,402100,397000,392300,387700,384400,381700,379000,376800,374800,372000,368200,365100,365100,366700,367900,368900,369800,375100,383700,389100,389000,388900,389600,390000,388700,387000,385900,385700,385100,383500,381900,380400,378600,375300,370500,366200,363400,361600,360000,358400,356700,354700,353400,353500,354400,356500,361100,366500,371100,373400,374900,376500,379900,384200,387300,389900,395500,403400,410400,415700,420700,426300,432200,437200,440900,442000,442200,443000,444100,444000,445100,447600,450900,454700,458500,460800,462100,463800,465800,469300,474300,478600,481500,484700,488000,491000,493000,493900,495200,496500,497300,499700,503900,508300,511600,516700,521300,521800,519800,521700,526500,530600,533200,536500,542000,548200,552800,553400,551700,552700,557300,561600,566100,574200,583600,589200
San Dimas,33371,CA,1517,179100,179600,180300,180800,181200,181800,182600,183400,183900,184800,186300,187300,187300,186600,185900,185900,186500,187200,187300,187100,187200,188500,190400,192400,194100,195600,196000,195700,196100,197300,198800,201000,203900,206200,207900,209300,210500,211600,213400,215900,218100,219400,220900,223100,224800,226700,228700,230400,231200,232500,234500,237000,238900,240100,240900,242200,244600,248600,252900,256300,259200,262900,266300,267900,268900,271100,273300,275300,278200,281900,285500,288900,293200,297100,300000,303300,307800,312600,317700,322700,326400,329100,332100,336800,342100,346500,350400,355200,360800,367100,373900,380400,386400,392600,399000,406200,415800,427700,439800,451200,460900,468400,474200,479700,486200,492500,498100,502700,506000,509100,514300,521300,529900,538200,546100,554800,561500,564200,566200,568400,570200,572700,577700,581800,582300,581200,580700,579100,576000,573500,573100,572900,571800,570000,565500,559300,553800,549700,545500,540400,532100,522600,513200,503200,492900,483800,476400,471300,467700,462900,458000,454200,450800,447600,445000,442400,438700,435000,431500,428100,424500,421900,420800,419000,421800,428100,430900,430800,432900,431700,426900,423200,422100,421300,418300,414200,410100,407800,406600,405800,403500,401300,399500,397000,393500,391000,389000,386800,386100,387000,388000,389600,391900,395500,399300,402000,402900,404900,408200,411900,414800,416300,419100,423500,428100,434200,441300,446400,450300,453200,459400,470200,478600,481300,484000,487700,491900,496500,503500,512600,521000,526700,529600,531400,533400,536200,539100,542300,544100,544300,545400,548100,550100,551300,553800,557200,560100,562900,566600,570700,574800,579300,580000,579600,582800,587700,589400,590500,591900,592600,593100,594300,596300,598000,599700,601600,604600,607600,609700,611100,612500,614500,616700
San Fernando,23645,CA,1907,115300,116100,116600,116800,117100,117800,118600,119200,120200,121400,122000,122200,122500,122600,122300,122200,122600,122500,122300,122200,122800,124300,126200,127500,127600,127100,125800,124000,122400,122300,122600,123400,124300,125600,126800,127800,128800,130600,132700,134300,135000,135000,135500,137100,138700,140100,142100,144700,147100,149300,151200,153000,154500,155200,155100,155400,156400,158000,160400,163100,164800,165700,167100,169100,171300,173000,174400,175700,177400,179300,180700,181600,183000,185800,189700,194000,198100,203900,211300,217200,220100,222100,223900,226600,229600,232700,235800,240500,248000,257600,267500,275800,282800,289300,297100,304900,314200,325200,336900,346100,352700,356200,358400,362300,369200,378000,387100,395800,404000,410800,416600,424700,434800,443000,449200,456000,461800,464700,467000,472200,478700,484500,488700,491400,493100,493600,493300,494300,495400,495600,494900,493200,490500,488200,485500,478600,467200,455500,446700,438100,427600,417900,410000,401700,392400,381800,370100,358800,348000,337100,325900,315200,304400,293800,283700,273700,263200,252400,243700,239300,238200,238100,238300,237600,240800,245800,248400,247700,248400,249700,251300,251100,250600,250800,251900,253200,253200,252600,251400,250700,250600,250200,248200,246800,246600,246100,244600,243600,242700,242000,242700,244500,246600,250800,255100,257600,259500,263100,266100,268900,271200,274000,277900,284300,290400,295800,302700,309500,313800,317500,322300,327000,330200,332800,336400,340100,341500,342300,344900,348800,351000,351700,352600,354200,357800,362200,364400,365300,367900,370600,372300,372500,373400,375800,378700,380900,383100,386400,392000,397900,402500,405200,409200,414600,418400,419500,421300,423900,425700,426400,427200,429000,432500,436300,437700,439000,442900,446300,448500,453100,457800,459700,459900
San Gabriel,39718,CA,696,191900,194200,195800,196400,196900,197300,196600,195800,196200,197600,198500,199300,200200,200200,200100,200500,200600,200900,201800,202900,204200,206400,208400,209900,210600,210600,210100,210100,210800,212200,214500,216700,217500,218500,219800,219800,219000,219500,221300,223500,225100,226000,227700,230200,232300,233900,235300,236300,237900,240400,242200,243400,244700,246200,247700,249400,251900,255200,259300,263100,265100,266300,267700,269700,272300,275600,278700,281800,284700,287100,289800,293600,298200,304400,311100,316300,319200,322300,326400,331200,337200,344200,350500,356200,361100,363800,365300,368000,373000,378500,384000,391000,399800,408500,416500,424500,432600,440900,451900,464400,476800,487100,494100,497200,498300,498500,501700,510300,522800,535400,545400,554700,564600,572700,579700,586200,589100,589500,590900,592800,593900,595200,596500,596800,594400,591500,590500,590600,589200,589400,589700,588600,586400,584300,581000,578800,579100,580600,579700,575700,570100,565300,561100,555100,547000,541000,536200,530200,524400,520500,517900,516300,514400,512600,511300,510000,507600,503900,500800,499000,497000,496300,499100,503200,512300,521100,521000,513900,511600,512300,514100,513800,514200,514500,515400,516100,517600,519400,523000,526700,527500,524900,521500,519800,519300,517200,512400,507700,504800,503000,503000,507100,513300,517700,520400,524500,529100,532800,535800,540100,543800,546900,551200,556100,559700,568500,581200,592300,598100,602600,605000,608800,610800,611700,613300,618100,622400,626700,631200,635500,638400,642600,649200,654600,656900,660400,668500,677500,683700,684500,682100,679900,678600,676000,674300,674500,676700,679400,681900,684000,686500,688200,690500,694400,699500,703200,706300,709700,711500,711700,713100,716200,722200,730200,735800,737600,740200,746000,752100,756700,761800,768100,771500
San Marino,13147,CA,3802,512300,522900,530100,534600,537100,537900,540000,544000,548500,552100,555800,559700,562500,563100,563800,567500,573000,577100,579200,583200,590000,598100,606200,614600,621100,626600,632600,639500,645500,653500,663200,670900,674500,674900,677600,686500,695100,698900,703000,707100,710200,714100,718900,724300,730300,736700,742000,746200,749800,754600,757400,759500,761800,763900,763800,764700,768700,776900,787100,794200,796400,797500,798600,799700,802200,805100,809200,815800,822000,827500,834800,840300,842200,843400,847600,855700,868100,883800,899500,908200,911700,916500,924300,931800,940200,946100,950600,956100,967500,982300,996700,1011400,1030200,1049100,1064300,1078700,1095800,1122000,1153300,1178500,1191100,1196000,1200100,1210700,1225400,1235800,1244600,1260100,1283600,1307700,1327500,1342900,1355600,1365800,1375600,1385800,1393200,1398100,1404900,1413700,1424100,1433000,1442400,1454600,1465900,1474000,1480800,1483700,1479600,1478900,1484000,1491000,1493500,1493500,1491800,1493600,1501400,1510600,1518600,1522100,1517600,1508100,1499600,1490900,1479500,1469200,1460000,1450800,1443100,1436100,1427700,1423000,1417500,1409100,1404700,1405600,1402400,1391900,1377900,1370400,1369100,1367100,1365600,1364600,1388100,1424400,1438100,1427000,1418100,1404100,1393800,1387300,1381300,1385400,1388800,1383700,1370300,1364200,1359500,1351300,1342800,1352500,1363900,1370100,1367700,1361100,1361300,1370100,1373800,1372800,1373800,1373700,1375200,1383700,1407800,1424100,1428600,1432200,1440700,1447100,1458700,1481700,1516000,1552300,1583400,1610900,1642700,1684500,1719300,1736200,1738700,1747200,1768200,1788400,1809800,1856500,1911800,1953500,1983900,2003400,2031100,2051300,2064400,2069900,2090600,2115500,2146100,2175500,2215700,2236400,2242200,2247000,2242900,2227400,2212800,2187000,2154900,2141600,2152400,2167100,2170200,2177400,2145100,2107200,2115400,2184800,2268400,2371200,2418900,2381200,2310000,2270000,2252700,2249000,2263300,2282200,2298800,2311600,2345100,2397000,2436800,2455100,2474900
Santa Clarita,176320,CA,173,173700,174100,173900,173100,172500,172400,172700,173300,174000,174700,175700,177100,177900,177900,177700,177600,177500,177900,178500,178800,179500,180700,182300,183500,184300,184900,185800,187100,188700,191000,194000,196900,199100,201400,203400,205200,206900,209000,211500,213900,215700,216500,217500,219000,220600,222700,224700,226000,227000,228400,229400,230500,232200,233300,233500,234200,235600,237300,239300,241300,242700,244100,245900,246900,246800,246900,248100,250400,253300,256100,259000,261800,264500,267400,270800,274700,279400,285800,292400,298200,303800,309500,314400,319400,324200,328300,332400,338100,344900,351200,356700,362100,367700,373700,380700,388200,397100,407700,418600,428000,435900,442400,447600,452100,456000,459200,463000,468200,474500,481400,489600,499400,509200,517600,524900,531200,535100,536800,538300,541200,544400,547100,547900,544900,539600,535100,532000,528800,525300,522700,521200,518700,515700,512800,508100,502800,498100,493600,489800,485600,478300,468500,459300,450600,440900,429800,417900,407400,399900,394500,389900,386000,380800,375300,370600,366500,361500,355600,350700,348800,349000,348400,347200,346600,351600,359700,364100,363600,363400,364000,365700,365800,363800,361500,358400,354300,351400,349700,347000,343600,340100,336600,333600,330900,328100,325400,323700,322500,320800,318700,317700,317900,318800,320500,323400,326300,327800,328300,328600,330700,334700,338800,343500,350900,359900,369600,378600,386200,393300,400200,405200,408000,408800,409800,412100,415000,418500,422600,425700,427400,428700,430400,432900,434800,435500,436300,438700,441500,443200,444000,445500,447800,449900,451800,454600,458700,461900,464100,466400,469100,471600,473500,474700,475800,478200,482000,486900,491800,495000,496900,499700,504100,508200,511200,513400,515800,519400,524100,528500,533100,537000,540100,542300
Santa Fe Springs,16223,CA,2945,148400,149000,149100,148800,148500,148100,147700,147500,147200,147100,147600,148300,148500,148000,147500,147400,147700,147800,147700,147800,148400,149600,150900,152000,153000,153400,153500,153800,154400,155200,156500,158000,159400,160200,160700,161300,162000,162800,163800,164800,165900,167000,167700,167900,168700,170000,171700,172700,173300,173900,174700,175200,175400,175900,177100,178800,180800,183000,185600,188000,190000,192400,195500,198600,201000,202800,204800,206800,208200,209800,212000,214300,216800,219800,222600,224900,227700,231500,235700,239900,244600,249300,253800,258200,262800,267100,271700,276400,281100,287000,293200,298300,303500,309900,315800,322000,328800,336500,344600,353800,362700,370700,377800,385300,393600,401700,408900,416100,423200,429900,435400,441600,449700,457900,464300,470000,473600,475300,478000,480700,483900,488500,494200,498200,499600,497500,494500,492800,491600,490700,492000,493500,493800,492800,490100,485500,480500,475800,471500,466500,458100,447600,435900,424300,413500,402500,390000,379300,372300,366400,360400,354200,348000,342600,337900,332600,326300,319800,313900,309400,306000,304300,303900,304500,306500,309200,311200,313300,315000,315400,317000,319300,320100,319800,318700,317000,315800,314700,313300,311800,310800,309800,308800,306900,303800,300900,299500,298600,298100,297600,296200,295100,297200,302700,308700,312300,314800,317100,318600,320000,322200,325100,328500,332900,336500,338900,341800,346700,351100,354600,358400,362600,366600,370700,375400,379300,381300,382300,384100,386900,389900,391600,392300,392700,393200,395200,398900,403100,406600,409900,413000,415700,418200,419900,421700,424700,428300,431000,433300,435100,437400,439800,440300,439200,439300,441100,443700,445900,447600,448800,451000,453600,456300,458900,460000,461200,464900,470200,474300,478400,480800,481300,481800
